Site.ID,Tour.ID,AM_n,AM_b,AH_n,AP_n,AP_b,CM,H_n,H_b,H_iso,PP_n,PP_type,Site.name,Latitude,Longitude,Altitude.x,Air.temp,Air.humidity,Soil.temp,Soil.humidity,Pop_size,Tour_ID,Plant_ID,HpA_plant,Albugo,Necrosis,Used_for,Lat,Long,HpA_site,Altitude.y,Notes,,,,
P0016,ITA,2,1,2,2,1,1,0,0,NA,20,5,Etna,37.68949,15.09558,723,19.8,60.6,18.8,4.11,200,ITA,PC0059,0,0,0,M,37.68949,15.09558,0,723,"growing along street (Not along the big wall, but the other side of the road at the bottom of a smaller wall). only capsella in sight. just started floewring.",,,,
P0017,ITA,2,1,2,2,1,1,1,1,NA,20,1,Melic,38.45387,16.03774,104,18,66.8,14.4,12.44,10000,ITA,PA0106,0,0,NA,M,38.45387,16.03774,1,104,flowering plant, very happy, growing in the wall before the buildings start (close to where we parked the car). We removed the inflorescence before grinding,,
P0017,ITA,2,1,2,2,1,1,1,1,NA,20,1,Melic,38.45387,16.03774,104,18,66.8,14.4,12.44,10000,ITA,PA0105,0,0,NA,M,38.45387,16.03774,1,104,only plant that looked non-flowering, fresh and green, harvested on small wall just after buildings,,
P0017,ITA,2,1,2,2,1,1,1,1,NA,20,1,Melic,38.45387,16.03774,104,18,66.8,14.4,12.44,10000,ITA,PC0060,0,0,NA,M,38.45387,16.03774,1,104,small plant, already flowering, on the other side of the street at entrance to a building. there were many of them. We removed the inflorescence before grinding,,
P0018,ITA,2,1,2,2,1,1,2,1,NA,20,5,Giffo,38.43949,16.13289,403,15.1,69.1,12.1,1.93,200,ITA,PC0061,0,0,0,M,38.43949,16.13289,1,403,flowering, from the other side of the street, removed inflorescence before grinding,,
P0018,ITA,2,1,2,2,1,1,2,1,NA,20,5,Giffo,38.43949,16.13289,403,15.1,69.1,12.1,1.93,200,ITA,PA0110,0,0,0,M,38.43949,16.13289,1,403,flowering and happy, from above the high wall, removed inflorescence before grinding,,
P0018,ITA,2,1,2,2,1,1,2,1,NA,20,5,Giffo,38.43949,16.13289,403,15.1,69.1,12.1,1.93,200,ITA,PA0113,0,0,0,M,38.43949,16.13289,1,403,flowering, 2 leaves yellow, from in the wall, removed inflorescence before grinding,
P0019,ITA,2,1,2,2,1,1,0,0,NA,20,4,Angel,38.61867,16.17022,269,16.3,63.1,11.8,13.84,100,ITA,PA0117,0,0,NA,M,38.61867,16.17022,0,269,"Rosette leaves a bit pale, one with white marks (bites?); flowering with siliques",,,,
P0019,ITA,2,1,2,2,1,1,0,0,NA,20,4,Angel,38.61867,16.17022,269,16.3,63.1,11.8,13.84,100,ITA,PC0062,0,0,NA,M,38.61867,16.17022,0,269,Just started flowering, a bit dirty but happy,,,
P0019,ITA,2,1,2,2,1,1,0,0,NA,20,4,Angel,38.61867,16.17022,269,16.3,63.1,11.8,13.84,100,ITA,PA0118,0,0,NA,M,38.61867,16.17022,0,269,Juicy green, just started flowering,,,
