Tour_ID	Site.ID	Site.name	Latitude	Longitude	Date	Time	Climate_classification	rndCoord.lon	rndCoord.lat
GEN	P0313	Ellershausen	51.5107	9.67837	20180506	13:35	Cfb	9.75	51.75
ENS	P0121	Kenilworth	52.3493	-1.58047	20180413	16:37	Cfb	-1.75	52.25
ENS	P0122	Tewkesbury	51.98942	-2.1637	20180414	10:30	Cfb	-2.25	51.75
ENS	P0123	Batsford	51.99802	-1.73753	20180414	15:45	Cfb	-1.75	51.75
ENS	P0124	Tauton	51.01181	-3.10619	20180415	10:11	Cfb	-3.25	51.25
ENS	P0125	Shaftesbury	51.0066	-2.19835	20180415	14:41	Cfb	-2.25	51.25
ENS	P0126	Wimborne	50.79885	-1.98779	20180415	17:05	Cfb	-1.75	50.75
ENS	P0127	Hillier Arboretum	51.01015	-1.46641	20180416	10:38	Cfb	-1.25	51.25
ENS	P0128	Wisley Garden	51.31384	-0.47081	20180416	16:09	Cfb	-0.25	51.25
ENS	P0129	West Malling	51.29502	0.40597	20180417	14:04	Cfb	0.25	51.25
ENS	P0130	East Malling	51.29239	0.43776	20180417	15:14	Cfb	0.25	51.25
ENS	P0131	Maidstone	51.26886	0.53955	20180417	16:53	Cfb	0.75	51.25
ENS	P0132	Pluckley	51.17516	0.75432	20180418	11:33	Cfb	0.75	51.25
ENS	P0133	Chilham	51.24568	0.97762	20180418	13:46	Cfb	0.75	51.25
ENS	P0134	Chartham	51.25483	1.02029	20180418	14:41	Cfb	1.25	51.25
ENS	P0135	Wye College	51.18385	0.93995	20180418	16:59	Cfb	0.75	51.25
IRE	P0193	Bray	53.185585	-6.130672	20180430	08:36	Cfb	-6.25	53.25
IRE	P0194	Rathnew	52.99227	-6.07541	20180430	10:44	Cfb	-6.25	52.75
IRE	P0195	Gorey	52.67437	-6.29735	20180430	12:46	Cfb	-6.25	52.75
IRE	P0196	New Ross	52.39283	-6.94348	20180430	16:44	Cfb	-6.75	52.25
IRE	P0197	Waterford	52.26638	-7.10075	20180430	18:08	Cfb	-7.25	52.25
IRE	P0198	Stradbally	52.13662	-7.46801	20180501	10:18	Cfb	-7.25	52.25
IRE	P0199	Dungarvan	52.08537	-7.63043	20180501	11:35	Cfb	-7.75	52.25
IRE	P0202	Bansha	52.44792	-8.06358	20180501	17:47	Cfb	-8.25	52.25
IRE	P0200	Lismore	52.13976	-7.9322	20180501	12:54	Cfb	-7.75	52.25
IRE	P0201	Cahir	52.37443	-7.92707	20180501	16:26	Cfb	-7.75	52.25
IRE	P0203	Limerick	52.66856	-8.55832	20180502	08:43	Cfb	-8.75	52.75
IRE	P0204	Kilaloe	52.812303	-8.456731	20180502	10:51	Cfb	-8.25	52.75
IRE	P0205	Bodyke	52.89413	-8.5529	20180502	12:07	Cfb	-8.75	52.75
IRE	P0206	Ennis	52.83387	-8.99243	20180502	13:30	Cfb	-8.75	52.75
IRE	P0207	ODea	52.91175	-9.06598	20180502	15:25			
IRE	P0208	Ballinrobe	53.62622	-9.22583	20180503	13:11			
IRE	P0209	Friary_of_Ross	53.47957	-9.13189	20180503	14:59			
IRE	P0210	Claregalway	53.34742	-8.9437	20180503	16:28			
IRE	P0211	Letterfrack	53.55223	-9.94931	20180504	11:54			
IRE	P0212	Roundstone	53.39631	-9.91893	20180504	13:35			
IRE	P0213	Oughterard	53.43545	-9.30709	20180504	16:13			
IRE	P0214	Boleybeg	53.27923	-9.13919	20180504	17:28			
IRE	P0215	Ballinasloe	53.32991	-8.22293	20180505	11:07			
IRE	P0216	Athenry	53.28877	-8.74147	20180505	12:35			
IRE	P0232	Ballyvaughan	53.115	-9.15044	20180505	17:08			
IRE	P0233	Corcomore Abbey	53.12682	-9.05359	20180505	17:46			
IRE	P0234	Kinvarra	53.12866	-8.95609	20180505	18:44			
IRE	P0235	Parkes Castle	54.26488	-8.33463	20180506	11:50	Cfb	-8.25	54.25
IRE	P0236	Mohill	53.92103	-7.91368	20180506	14:52	Cfb	-7.75	53.75
IRE	P0238	Edgeworthstown	53.69478	-7.60888	20180506	16:32	Cfb	-7.75	53.75
IRE	P0239	Cavan	53.995574	-7.362371	20180506	17:54	Cfb	-7.25	53.75
IRE	P0290	Doolin	53.03812	-9.37913	20180505	NA	Cfb	-9.25	53.25
SCO	P0237	Stirling	56.12458	-3.94606	20180508	14:13	Cfb	-3.75	56.25
SCO	P0240	Kinkell Bridge	56.32973	-3.72893	20180508	15:55	Cfb	-3.75	56.25
SCO	P0241	Errol	56.40711	-3.21213	20180508	17:47	Cfb	-3.25	56.25
SCO	P0242	Carnoustie	56.50444	-2.75932	20180509	10:17	Cfb	-2.75	56.75
SCO	P0243	Whitestone	57.02153	-2.59091	20180509	12:52	Cfb	-2.75	57.25
SCO	P0244	Lumsden	57.28711	-2.87331	20180509	15:31	Cfb	-2.75	57.25
SCO	P0245	Cabrach	57.32767	-3.02025	20180509	16:30	Cfc	-3.25	57.25
SCO	P0246	Maggieknockater	57.50316	-3.13416	20180509	18:31	Cfb	-3.25	57.75
SCO	P0247	Rothes	57.52013	-3.20886	20180510	10:31	Cfb	-3.25	57.75
SCO		Cullykhan_Bay	57.68499	-2.27573	10	20180510	NA	57.75	NA
SCO	P0248	Findlater_Castle	57.68685	-2.77162	20180510	16:16	Cfb	-2.75	57.75
SCO	P0255	Lochcarron	57.40237	-5.48587	20180511	17:11	Cfc	-5.25	57.25
SCO	P0249	Wester_Greenskares	57.66273	-2.3748	20180510	14:01	Cfb	-2.25	57.75
SCO	P0250	Kinloss_Abbey	57.63403	-3.56683	20180510	18:03	Cfb	-3.75	57.75
SCO	P0251	Charlestown	57.51213	-4.25831	20180510	20:01	Cfb	-4.25	57.75
SCO	P0252	Dingwall	57.59487	-4.42132	20180511	09:42	Cfb	-4.25	57.75
SCO	P0253	Ullapool	57.89675	-5.16396	20180511	12:11	Cfb	-5.25	57.75
SCO	P0254	Achanalt	57.61001	-4.91435	20180511	14:42	Cfc	-4.75	57.75
SCO	P0257	Uig	57.58667	-6.37755	20180512	13:44	Cfb	-6.25	57.75
SCO	P0258	Kyleakin	57.27356	-5.72571	20180513	10:09	Cfb	-5.75	57.25
