Tour_ID Site_ID Site_name Lat Long HpA_site Elevation Date Time Air_temp Air_hum Soil_temp Soil_hum Pop_size rndCoord.lon rndCoord.lat ClimateZ
FRN P0148 VNS 47.6455 -2.76859 0 15 20180329 12:22 15.5 63.5 11.2 29.79 100 -2.75 47.75 Cfb
FRN P0149 NTS 47.21975 -1.53567 0 29 20180329 16:57 18.4 49.9 n/a n/a 100 -1.75 47.25 Cfb
FRN P0150 Ange1 47.4757 -0.55217 0 24 20180330 10:34 8.6 75.8 n/a n/a 100 -0.75 47.25 Cfb
FRN P0151 NNS 47.26093 -0.01284 0 21 20180330 13:36 16.7 57.8 20.7 27.06 30 -0.25 47.25 Cfb
FRN P0152 BSO 48.61082 2.30889 0 71 20180331 16:05 16.1 47.4 Na Na 50 2.25 48.75 Cfb
FRN P0153 VSL 48.80611 2.16515 1 113 20180401 15:00 14.3 52.8 11.1 25.29 100 2.25 48.75 Cfb
FRN P0154 Cuv 48.84444 2.35691 0 34 20180401 18:14 14.1 47.5 11.1 16.37 30 2.25 48.75 Cfb
FRN P0155 VEZ 48.80338 3.46323 0 146 20180402 15:27 18.5 51.2 14.7 28.15 6 3.25 48.75 Cfb
FRN P0156 CMP 48.96777 4.38613 0 128 20180402 19:24 19.1 47.1 12.1 16.04 6 4.25 48.75 Cfb
FRN P0157 AVX 48.56088 7.50467 0 169 20180403 12:36 23.7 35.5 n/a n/a 50 7.75 48.75 Cfb
SPC P0097 VAE 42.1047 -5.44507 NA 738 20180227 14:38 8.2 22.4 10 2.01 50 -5.25 42.25 Csb
SPC P0098 CHO 40.5131 -3.89824 NA 718 20180302 9:47 6.3 84.5 6.6 7.21 100 -3.75 40.75 Csb
SPC P0100 LAM 40.56675 -3.88946 NA 697 20180303 9:50 9.6 83.4 11.5 7.81 50 -3.75 40.75 Csb
SPC P0101 INI 40.45935 -3.75122 NA 602 20180301 13:55 10.3 95.7 12 20.15 60 -3.75 40.25 Csa
SPC P0104 EES 40.58862 -4.14671 NA 1088 20180303 14:10 11.5 71.2 12.5 7.93 20 -4.25 40.75 Csb
SPC P0105 LAS 40.56807 -4.15252 NA 1051 20180303 16:12 6.2 86.2 7.8 11.29 30 -4.25 40.75 Csb
SPC P0109 CER 40.73706 -4.0691 NA 1181 20180304 11:51 6.2 60.7 8.3 16.7 100 -4.25 40.75 Csb
SPC P0110 ESP 40.72716 -4.2752 NA 1146 20180304 14:17 8.8 67.4 19 30.88 200 -4.25 40.75 Csb
SPC P0111 LAB 40.86933 -4.4965 NA 974 20180304 16:53 10.2 61 12.8 12.57 20 -4.25 40.75 Csb
CSA P0076 Rab 48.21421 13.5169 1 444 20180416 9:54 13.6 81.4 15.9 7.97 100 13.75 48.25 Cfb
CSA P0077 Atze 48.19233 13.38843 1 471 20180416 12:38 16 71.9 15 45.15 1000 13.25 48.25 Cfb
CSA P0078 Guschl 48.35802 13.69857 0 439 20180416 15:58 16 75.1 15.4 18.39 800 13.75 48.25 Cfb
CSA P0079 Puch1 48.32721 14.71513 0 657 20180417 10:10 20.3 60.6 12.7 9.39 50 14.75 48.25 Cfb
CSA P0080 OOE 48.33206 14.71574 1 596 20180417 11:06 21.1 54.9 23.4 16.82 100000 14.75 48.25 Cfb
CSA P0081 Egel 48.4264 15.56996 1 363 20180417 16:15 23 46.1 20.9 40.19 100000 15.75 48.25 Cfb
CSA P0082 Udu 49.27724 16.63096 1 432 20180418 9:49 21 51.6 17.4 26.6 500 16.75 49.25 Cfb
CSA P0083 Horska 49.30568 16.62312 0 497 20180418 11:04 23.5 41.8 22.7 29.9 300 16.75 49.25 Cfb
CSA P0084 Draha 49.40779 16.27657 1 495 20180418 14:06 26.3 38 26.4 17.2 1000 16.25 49.25 Cfb
CSA P0085 Komo 49.50828 15.32867 1 558 20180418 16:59 25.9 30.7 19.5 7.97 1000 15.25 49.75 Cfb
CSA P0086 Tren 49.85931 13.83349 0 396 20180419 16:45 28.2 35.2 21.7 23.5 100 13.75 49.75 Cfb
CSA P0087 Kra 49.98419 13.41716 1 526 20180420 10:42 26.8 47.3 17 18.2 500 13.25 49.75 Cfb
CSA P0088 ULI 49.76256 13.10184 1 446 20180420 13:52 28.6 50.1 21.2 30.5 200 13.25 49.75 Cfb
BNE P0089 Wagening 51.9669 5.66569 0 15 20180423 8:25 15 69.6 14.8 3.91 200 5.75 51.75 Cfb
BNE P0090 Renkum 51.97493 5.7356 0 19 20180423 10:13 18 59.4 15.3 0.84 5000 5.75 51.75 Cfb
BNE P0091 Appeltern 51.83523 5.58604 0 -2 20180423 12:06 15.1 67.7 16 2.66 2000 5.75 51.75 Cfb
BNE P0092 Eerschot 51.5744 5.46741 1 3 20180423 14:43 25.8 41 26.4 0.57 5000 5.25 51.75 Cfb
BNE P0093 Lille 51.2502 4.81116 1 5 20180423 17:10 21.3 51.3 20.3 4.57 100 4.75 51.25 Cfb
BNE P0094 Haasdonk 51.16745 4.2268 1 12 20180424 10:21 15.4 68.5 14.4 10.84 200 4.25 51.25 Cfb
BNE P0095 Ertvelde 51.16784 3.76163 1 1 20180424 12:13 14.8 73.3 15.4 4.7 500 3.75 51.25 Cfb
BNE P0096 Nazareth 50.93634 3.62578 1 -2 20180424 14:30 21.2 54.1 21.9 9.31 2000 3.75 50.75 Cfb
BNE P0188 Affligem 50.89959 4.12158 1 32 20180424 16:40 21.3 57.3 20.6 0.92 50 4.25 50.75 Cfb
BNE P0189 Meerbeek 50.88866 4.60247 1 37 20180424 19:07 19.5 55.2 17 4.37 100 4.75 50.75 Cfb
BNE P0190 Bommershoven 50.7892 5.37844 1 86 20180425 10:30 20.4 56 17.1 3.24 10000 5.25 50.75 Cfb
BNE P0191 Ang 50.29948 5.30176 0 199 20180425 12:58 25.9 37.8 31.4 0.73 5000 5.25 50.25 Cfb
BNE P0192 Rochefort 50.17861 5.22021 0 184 20180425 14:27 20.5 48.7 27.7 4.57 200 5.25 50.25 Cfb
BAL P0169 Zloc 42.21926 24.16969 0 227 20180405 17:51 23.5 44.7 22.5 2.04% 100 24.25 42.25 Cfb
BAL P0170 Grivo 41.84129 25.75353 0 225 20180406 12:15 23.8 46.5 24.9 1.35% 20 25.75 41.75 Cfa
BAL P0171 Koren 41.82786 25.68699 1 172 20180406 14:13 24.1 47.3 22.7 1.35% 10000 25.75 41.75 Cfa
BAL P0172 Sorbe 41.55437 25.74722 0 591 20180406 17:08 23.9 42.4 23.6 0.85% 100 25.75 41.75 Cfa
BAL P0173 Leska 41.53786 24.97745 1 782 20180407 12:55 16.1 36.1 18.1 0.14% 50 24.75 41.75 Dfb
BAL P0174 Sorbe2 41.67432 24.16228 0 1234 20180408 12:35 24.1 28.6 17.6 0.36 20 24.25 41.75 Dfb
BAL P0175 Dolen 41.61943 23.93737 1 1047 20180408 14:32 20.8 25.8 20.4 0.66 50 23.75 41.75 Cfb
BAL P0176 Baroto 41.57778 23.76864 1 496 20180408 16:18 35.6 16.5 34.2 0.71 50 23.75 41.75 Cfb
BAL P0177 Sorbe3 41.58686 23.5561 1 1016 20180409 11:30 21.7 30.2 21.1 0.6 50 23.75 41.75 Cfb
BAL P0178 Melni1 41.53279 23.40075 1 435 20180409 13:20 25.7 32 n/a n/a 200 23.25 41.75 Cfb
BAL P0179 Zerev 41.85056 23.13283 1 308 20180410 10:41 20 43.2 18.5 1.79 50 23.25 41.75 Cfb
BAL P0180 Dolna 42.32156 23.09941 0 575 20180410 12:32 24.1 33.7 25.9 0.99 50 23.25 42.25 Dfb
BAL P0181 Por 43.40865 21.59418 1 319 20180412 1-:25 20.1 50 28.5 0.85 100 21.75 43.25 Cfb
BAL P0182 Stero 44.30005 21.0794 1 123 20180412 13:14 30.6 39 n/a n/a 50 21.25 44.25 Cfb
BAL P0183 Zabar 44.37975 21.21955 0 111 20180412 14:57 30.5 30.8 n/a n/a 50 21.25 44.25 Cfb
BAL P0184 Sredn 44.65704 21.37022 1 226 20180413 9:30 20.3 48.9 21.9 0.3 1000 21.25 44.75 Cfa
BAL P0185 Zupan 45.06708 18.71792 0 90 20180415 11:04 20.6 64.1 19.6 0.38 1000 18.75 45.25 Cfb
BAL P0186 Gradi 45.16984 18.70019 0 82 20180415 12:46 23.7 57.2 26.9 0.96 1000 18.75 45.25 Cfb
GEN P0073 Einig 50.29125 7.26436 1 311 20180411 11:44 13.4 79.4 18 9.68 100 7.25 50.25 Cfb
GEN P0074 Limburg 50.38839 8.06598 1 144 20180411 14:46 18.7 61.5 17.8 15.77 500 8.25 50.25 Cfb
GEN P0075 Frankfurt 50.0905 8.56435 1 83 20180411 16:57 24.9 56.4 22.1 4.65 300 8.75 50.25 Cfb
GES P0119 Goethe 48.52938 9.05863 1 357 20180410 9:39 19.8 49.8 14.1 15.43 500 9.25 48.75 Cfb
GEN P0158 Moorfleet 53.49497 10.11113 1 -3 20180415 8:50 11.2 75.7 10.5 4.97 100 10.25 53.25 Cfb
GEN P0159 Matzlow 53.45987 11.66125 1 31 20180415 12:12 12.7 83.2 11.1 6.57 500 11.75 53.25 Cfb
GEN P0160 Eiskeller 52.58358 13.13688 1 19 20180415 15:50 27.8 43.8 27.9 7.91 300 13.25 52.75 Cfb
GEN P0161 DD-Frauenhofer 51.1011 13.77745 1 205 20180416 8:55 14.3 85.9 13.5 23.07 1000 13.75 51.25 Cfb
GEN P0162 Leipzig 51.35089 12.44002 1 121 20180416 12:55 19 74.8 17.1 5.95 300 12.25 51.25 Cfb
GEN P0163 Jena 50.93334 11.57273 0 160 20180416 16:04 18.8 71.3 n/a n/a 30 11.75 50.75 Cfb
GES P0164 Wiesentheid 49.79628 10.34753 0 258 20180416 11:20 17.4 65.9 n/a n/a 1000 10.25 49.75 Cfb
