Sequence_ID	Tour_ID	Site_ID	Plant_ID	HpA_plant	Albugo	Necrosis	Used_for	Host_Species	Lat	Long	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Land_cov
PA1169.P222.ENN	PA1169.P222.ENN	ENN	P0222	PA1169	NA	NA	NA	SOIL		54.66228	-2.75662	NA	NA	-2.75	54.75	Cfb	70
PA1169.P222.ENN_rep	PA1169.P222.ENN_rep	ENN	P0222	PA1169	NA	NA	NA	SOIL		54.66228	-2.75662	NA	NA	-2.75	54.75	Cfb	70
PA1188.P225.ENN	PA1188.P225.ENN	ENN	P0225	PA1188	NA	NA	NA	SOIL		54.97908	-2.12989	NA	NA	-2.25	54.75	Cfb	30
PA1189.P225.ENN	PA1189.P225.ENN	ENN	P0225	PA1189	NA	NA	NA	SOIL		54.97908	-2.12989	NA	NA	-2.25	54.75	Cfb	30
PA1194.P227.ENN	PA1194.P227.ENN	ENN	P0227	PA1194	NA	NA	NA	SOIL		55.16567	-1.9606	NA	NA	-1.75	55.25	Cfb	20
PA1196.P227.ENN	PA1196.P227.ENN	ENN	P0227	PA1196	NA	NA	NA	SOIL		55.16567	-1.9606	NA	NA	-1.75	55.25	Cfb	20
PA1196.P227.ENN_rep	PA1196.P227.ENN_rep	ENN	P0227	PA1196	NA	NA	NA	SOIL		55.16567	-1.9606	NA	NA	-1.75	55.25	Cfb	200
PA1200.P226.ENN	PA1200.P226.ENN	ENN	P0226	PA1200	NA	NA	NA	SOIL		55.01078	-1.43359	NA	NA	-1.25	55.25	Cfb	200
PA1202.P226.ENN	PA1202.P226.ENN	ENN	P0226	PA1202	NA	NA	NA	SOIL		55.01078	-1.43359	NA	NA	-1.25	55.25	Cfb	150
PA1208.P228.ENN	PA1208.P228.ENN	ENN	P0228	PA1208	NA	NA	NA	SOIL		55.4767	-2.55439	NA	NA	-2.75	55.25	Cfb	150
