Plant_ID	Tour_ID	Site.ID	HpA_plant	Albugo	Necrosis	Used_for	Latitude	Longitude	HpA_site	Altitude	rndCoord.lon	rndCoord.lat	ClimateZ	Enterobacteriaceae	Burkholderiaceae	Pasteurellaceae	Brucellaceae	Pseudomonadaceae	Acetobacteraceae	Alcaligenaceae	Rhizobiaceae	Sphingomonadaceae	Xanthomonadaceae	Comamonadaceae	Phyllobacteriaceae	Oxalobacteraceae	Peronosporaceae	Albuginaceae	Pectobacteriaceae	Bradyrhizobiaceae	Erwiniaceae	Caulobacteraceae	Methylobacteriaceae	Hyphomicrobiaceae	Erythrobacteraceae	Campylobacteraceae	Aurantimonadaceae	Moraxellaceae
PA0031	SPS	P0006	0	NA	NA	M	38.60214	-2.70252	1	1028	-2.75	38.75	Csa	0.0112054561858773	0.354890769721976	0.00123056403551519	0.000116977141197592	0.00203232426741343	0.000264707542742337	0.000307243514268103	0.00117717660702722	0.00425361549041308	0.00076398838347806	0.00161885149015262	0.000552172774981571	0.00022894310618493	3.14758280782279e-05	1.49948423525068e-05	0.000112223130639061	0.000548074606643391	0.000251379229295443	0.000250334663808492	0.000304683492694875	0.000282022523055162	0.000446205457385592	0.000575532789735967	0.000106248017539389	0.00102731718633396
PA0037	SPS	P0007	0	NA	NA	M	38.87524	-3.52768	0	726	-3.75	38.75	Csa	0.00158335979773327	0.113660615239806	0.000359033851357812	0	0.00173079731954293	0	0.000215141972068839	0.00130152255346232	0.00144121978464206	0	0.000755715224578286	0.000322207885644188	0.00016031346169674	0.000100183662599488	5.2499398762973e-05	0	0.000159908246280099	0.00058674656655322	0	0	0	0	0	0	0.000299733809318695
PA0040	SPS	P0007	0	NA	NA	M	38.87524	-3.52768	0	726	-3.75	38.75	Csa	0.0546034102321635	0.0294352579863188	0.000609762448049752	0.00391256200397846	0.00155139572853123	9.83748394768989e-05	0.00100480807434943	0.000644709060595144	0.00305960601186206	0.000412982617767519	0.000802164551518998	0.000273609672720711	0.000544534330063013	2.55219257725537e-05	0	0	0.000678947426171254	0	0.000372133443762653	6.47036226678172e-05	0	0.00022110131953815	0.000285184901129817	0	0.000127262666627569
PA0043	SPS	P0008	0	NA	NA	M	39.58164	-3.9288	0	969	-3.75	39.75	BSk	0.139286681800633	0.0181145405809567	0.000680035530073292	5.54091642472778e-05	0.00317418113188462	0.000188078075295005	5.82134463937218e-05	0.00058694663085047	0.00103991325502321	0.000460577482727627	0.000306723885338593	0.000523101037836933	0.000390400771966531	1.35539249179977e-05	0	0	0.000129804659219569	7.93813951557001e-05	0.000237154616051385	0.00012370371205368	5.34348237319268e-05	0.000140904289636939	0.000181743718186829	0	8.11024360954399e-05
PA0046	SPS	P0008	0	NA	NA	M	39.58164	-3.9288	0	969	-3.75	39.75	BSk	0.683789343612565	0.0885504726630177	0.00131105838707845	0.000230084152988528	0.00394339106123716	0.00071590388463732	0.00145037287834933	0.0038387009510643	0.00985088170382044	0.00177591888930997	0.0014859339131211	0.000859811111652299	0.00243168342721574	3.09551471716965e-05	7.37339698712019e-06	0.000110366707950206	0.00260520640346068	0.000576848654951556	0.000861677481332165	0.00436623157317973	0.0011649003952454	0.00182843423635232	0	0.000522452183221153	0.00050516152610736
PA0049	SPS	P0009	0	NA	NA	M	40.04818	-4.65225	1	393	-4.75	40.25	Csb	0.00406512704671041	0.203067118623272	0.00080284549984591	3.81591565675851e-05	0.00125425858525351	4.31751727932185e-05	0.000120271224739825	0.000444639935585998	0.000895208700000539	0.000498441867231331	0.000352057429568262	0.000240165980659856	0.00014936723097418	9.3343104895609e-06	0	0	0.000357575240966022	0.000328010046076288	8.16617634245846e-05	5.67948085889631e-05	3.67994686916448e-05	4.85189491877642e-05	6.25815881874358e-05	0.000103977615492398	0.000111707173317652
PA0052	SPS	P0009	0	NA	NA	M	40.04818	-4.65225	1	393	-4.75	40.25	Csb	0.0204799717680632	0.462142520167904	0.00406466107008653	0.000251990719310311	0.00336041691222481	0.000114045946788584	0.00026474408032615	0.000800797696810812	0.00100498364668767	0.00245369998815217	0.000232487331732081	0.000515442981208858	0.000197274569776766	0.065122235738036	0.00102073387898464	9.66998752866568e-05	0.000314841487718232	0.000288809623994625	0	0.000412559986971509	9.72047122626611e-05	0.000256322749363721	0.0002479611318715	9.1551269217019e-05	0.000221303405172863
PA0057	SPS	P0010	0	NA	NA	M	39.72536	-5.74385	0	451	-5.75	39.75	Csa	0.00158735752783701	0.123588817576493	0.000925560911253075	0.118381950777751	0.00409003722080195	0.000149323570780443	0.00942852319463401	0.00587163910332046	0.00247690051535905	0.00188060400860269	0.00073056531013362	0.00384164747123122	0.000413275442226464	5.16531138763528e-05	0.000101504477590756	0	0.000824461657774927	0.000378146576402061	0.000423647156058472	0.000196427786425161	0.000381818604004936	0.000335610596299446	0.000216441663314591	0.000479482623062774	0
PA0060	SPS	P0010	0	NA	NA	M	39.72536	-5.74385	0	451	-5.75	39.75	Csa	0.00846422675350248	0.802113542240988	0.00347959592808468	0.000567033614471948	0.0129134064077227	0.000400981318878031	0.002308459309948	0.00548098599987065	0.0216166155022217	0.00824836662067988	0.0113784423470889	0.00200744684734129	0.00177564177998425	0.000114431668321938	2.72571832321181e-05	0.000135997269941262	0.00697391725692716	0.00030463317775435	0.00409545887601427	0.00411427482705146	0.00177719444726767	0.00216293107104646	0.000464971809406563	0.000901294427255906	0.000829967535269886
PA0063	SPS	P0011	0	NA	NA	M	39.39484	-5.78286	1	577	-5.75	39.25	Csa	0.00179386922592546	0.328540314488758	0.000842009340095847	0.000187922862011235	0.00129419976085634	9.4500132473793e-05	0.000197433720621102	0.00196853948203052	0.00546182150670275	0.000743843248485724	0.000770569556071571	0.000624228281665343	0.000196157497947811	7.15070102241141e-06	1.33828316153692e-05	4.00634624995856e-05	0.00109244438868345	5.98279651660764e-05	0.000647925537727923	0.00113433111827532	0.00052354406175456	0.000530981908016025	3.42440341956312e-05	0.000417233932640736	6.11250748627526e-05
PA0066	SPS	P0011	0	NA	NA	M	39.39484	-5.78286	1	577	-5.75	39.25	Csa	0.00369053421912821	0.490770094447019	0.00122134133690506	0.000174150650304581	0.00408870126221276	0.000131361820600595	0.000426917146201431	0.00252118501374092	0.00306416319083122	0.00158545800836967	0.0011782603775114	0.000548034410022579	0.000545345395405194	0.0267584169897688	0.000580415964387534	0	0.00154123970921761	0.000166330146240256	0.000807490068353092	0.000302399983715654	0.000391872391493917	0.000221430642424674	0.000476016123881586	0.000316355164070942	8.49681466906472e-05
PA0072	SPS	P0012	0	NA	NA	M	39.25705	-6.03331	0	449	-6.25	39.25	Csa	0.00102119371342161	0.0121561320639107	0.00625212540813517	9.14347136816185e-05	0.000601076045390301	0	9.6062264712677e-05	0.000387425422254695	0.00042900922626458	0.000217152166760522	8.43579186952083e-05	0.000791273334444853	0.000357904923117241	1.78930581029316e-05	0	0	0.000214200160055013	0	0	0	0	0	0	0	0.000133833060361177
PA0075	SPS	P0012	0	NA	NA	M	39.25705	-6.03331	0	449	-6.25	39.25	Csa	0.000592070566061621	0.0724048249408715	0.000185891018989367	0.000159036827123928	0.000248923972687881	0	5.56952502723782e-05	0.0003369339030091	0.000435281309684977	6.2950547288734e-05	0.000146727814763872	0.000208530309754538	8.30028495636767e-05	1.03740875999717e-05	3.39771817318565e-05	0	8.27930478794486e-05	0	0	3.94508464353405e-05	0.000102246682351761	0.000134809054641839	0.000173881851993214	4.81499987224841e-05	0
PA0078	SPS	P0013	0	NA	NA	M	39.22976	-6.07479	0	536	-6.25	39.25	Csa	0.200556097158563	0.0238833519640215	0.000232883558917255	0.0131498881713522	0.00205821661762887	7.51436327329381e-05	0.0012559463444616	0.000562812676511492	0.000934832165156787	0.000709777847863921	0.000674006835979321	0.000417993561533233	0.000207971306109934	2.59932346805735e-05	3.40531868477011e-05	6.37144950651489e-05	0.000207445628611844	0.000190293517010483	0	0.000247119349017226	6.40471266525318e-05	8.44441344986602e-05	0.000108919260175822	0	0
PA0081	SPS	P0013	0	NA	NA	M	39.22976	-6.07479	0	536	-6.25	39.25	Csa	0.118302032245995	0.0367153846782925	0.000571656490095346	0.0623840853077651	0.00204132514919735	0	0.00502407724047703	0.00184203940505187	0.00178478327105448	0.000387174045398258	0.00060162782862987	0.00153906570334645	8.50841134543059e-05	6.91223895489801e-05	0	0.000312798419832475	0.000169738102150303	0.00669526086298031	0	0.000404400609330625	0.000104810477800159	0	0.000712967484871015	9.87146821022237e-05	0.000318159001349563
PA0084	SPS	P0014	0	NA	NA	M	38.19125	-6.23774	0	520	-6.25	38.25	Csa	0.0278530638126182	0.0251543985756824	0.000772779846648692	0	0.00101182234401124	0	0.000154356271750137	0.000259387075400715	0.00143614024956186	0.000232618562303476	0.000722929660192931	0.000115586018567818	7.66792520644601e-05	2.39593364022629e-06	3.76663436904045e-05	0	0.000229456302557281	0	0.000104804830698516	3.64452716246936e-05	9.44569875615028e-05	0.000124538585552089	0.000321269219755982	0	7.16825776005821e-05
PA0087	SPS	P0014	0	NA	NA	M	38.19125	-6.23774	0	520	-6.25	38.25	Csa	0.0583312824289709	0.9360744519269	0.00221711258792289	0.000194546054126999	0.0257609461900647	0.000110059553967018	0.00102196057699864	0.00175169450182781	0.00627553349765755	0.00115508912007674	0.00224360906756716	0.000688743758839808	0.000609212739813797	5.23478184738289e-05	0.000112221441038131	9.33198017325859e-05	0.000835550191671839	0.00069678623601493	0.000104083628127153	0.00108583432848332	9.38069925006023e-05	0.000618407936909574	0.00255246753607939	0.000176702322859721	0.00113902883299526
