#OTU ID	taxonomy
seq_261	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_262	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_263	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_264	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_265	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_266	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_267	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_268	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_269	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_270	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_271	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_272	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_273	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_274	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_275	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_276	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_277	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_278	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_279	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_280	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_281	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_282	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_283	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_284	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_285	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_286	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_287	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_288	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_289	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_290	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_291	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_292	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
seq_293	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_294	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_295	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_296	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_297	Eukaryota;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified
seq_298	Eukaryota;Opisthokonta_ph;Aphelidea;Aphelidea_or;Aphelidea_fa;Aphelidium
